name,street_address,google_map,review_count,phone,restaurant_type,price_range,restaurant_main_type,latitude,longitude,review_type,review_score
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,Seafood,$31 to $50,Seafood,40.7402272,-74.0063403,value_review,4
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,Italian,$30 and under,Italian,40.760804,-73.9898324,average_review,4.418139
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,Italian,$30 and under,Italian,40.760804,-73.9898324,food_review,4.4
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,Italian,$30 and under,Italian,40.760804,-73.9898324,service_review,4.4
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,Italian,$30 and under,Italian,40.760804,-73.9898324,ambience_review,4.1
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,Italian,$30 and under,Italian,40.760804,-73.9898324,value_review,4.3
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,Seafood,$50 and over,Seafood,40.763598,-73.9789514,average_review,4.84404
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,Seafood,$50 and over,Seafood,40.763598,-73.9789514,food_review,4.8
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,Seafood,$50 and over,Seafood,40.763598,-73.9789514,service_review,4.6
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,Seafood,$50 and over,Seafood,40.763598,-73.9789514,ambience_review,4.6
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,Seafood,$50 and over,Seafood,40.763598,-73.9789514,value_review,4.2
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,Asian,$31 to $50,Asian,40.7626068,-73.9714784,average_review,4.6106
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,Asian,$31 to $50,Asian,40.7626068,-73.9714784,food_review,4.5
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,Asian,$31 to $50,Asian,40.7626068,-73.9714784,service_review,4.4
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,Asian,$31 to $50,Asian,40.7626068,-73.9714784,ambience_review,4.6
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,Asian,$31 to $50,Asian,40.7626068,-73.9714784,value_review,4.1
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,Southern,$31 to $50,Other,40.8080566,-73.9449139,average_review,4.45682
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,Southern,$31 to $50,Other,40.8080566,-73.9449139,food_review,4.4
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,Southern,$31 to $50,Other,40.8080566,-73.9449139,service_review,4.2
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,Southern,$31 to $50,Other,40.8080566,-73.9449139,ambience_review,4.4
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,Southern,$31 to $50,Other,40.8080566,-73.9449139,value_review,4
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,Steakhouse,$50 and over,Steakhouse,40.7594248,-73.9822224,average_review,4.77225
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,Steakhouse,$50 and over,Steakhouse,40.7594248,-73.9822224,food_review,4.6
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,Steakhouse,$50 and over,Steakhouse,40.7594248,-73.9822224,service_review,4.7
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,Steakhouse,$50 and over,Steakhouse,40.7594248,-73.9822224,ambience_review,4.5
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,Steakhouse,$50 and over,Steakhouse,40.7594248,-73.9822224,value_review,4
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,Mediterranean,$31 to $50,Mediterranean,40.7592803,-73.9756337,average_review,4.57186
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,Mediterranean,$31 to $50,Mediterranean,40.7592803,-73.9756337,food_review,4.5
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,Mediterranean,$31 to $50,Mediterranean,40.7592803,-73.9756337,service_review,4.3
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,Mediterranean,$31 to $50,Mediterranean,40.7592803,-73.9756337,ambience_review,4.2
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,Mediterranean,$31 to $50,Mediterranean,40.7592803,-73.9756337,value_review,4
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,Mexican,$31 to $50,Mexican,40.771079,-73.9827734,average_review,4.46215
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,Mexican,$31 to $50,Mexican,40.771079,-73.9827734,food_review,4.3
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,Mexican,$31 to $50,Mexican,40.771079,-73.9827734,service_review,4.2
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,Mexican,$31 to $50,Mexican,40.771079,-73.9827734,ambience_review,4.2
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,Mexican,$31 to $50,Mexican,40.771079,-73.9827734,value_review,4
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,Tapas / Small Plates,$30 and under,Other,40.7379803,-73.98927,average_review,4.72171
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,Tapas / Small Plates,$30 and under,Other,40.7379803,-73.98927,food_review,4.6
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,Tapas / Small Plates,$30 and under,Other,40.7379803,-73.98927,service_review,4.3
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,Tapas / Small Plates,$30 and under,Other,40.7379803,-73.98927,ambience_review,4.6
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,Tapas / Small Plates,$30 and under,Other,40.7379803,-73.98927,value_review,4
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,Steakhouse,$50 and over,Steakhouse,40.7628238,-73.9838753,average_review,4.6502
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,Steakhouse,$50 and over,Steakhouse,40.7628238,-73.9838753,food_review,4.7
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,Steakhouse,$50 and over,Steakhouse,40.7628238,-73.9838753,service_review,4.7
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,Steakhouse,$50 and over,Steakhouse,40.7628238,-73.9838753,ambience_review,4.6
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,Steakhouse,$50 and over,Steakhouse,40.7628238,-73.9838753,value_review,4.2
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,Mediterranean,$50 and over,Mediterranean,40.7715807,-73.9811807,average_review,4.64853
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,Mediterranean,$50 and over,Mediterranean,40.7715807,-73.9811807,food_review,4.6
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,Mediterranean,$50 and over,Mediterranean,40.7715807,-73.9811807,service_review,4.5
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,Mediterranean,$50 and over,Mediterranean,40.7715807,-73.9811807,ambience_review,4.4
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,Mediterranean,$50 and over,Mediterranean,40.7715807,-73.9811807,value_review,4.1
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,French,$31 to $50,French,40.7690255,-73.9816255,average_review,4.65918
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,French,$31 to $50,French,40.7690255,-73.9816255,food_review,4.6
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,French,$31 to $50,French,40.7690255,-73.9816255,service_review,4.4
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,French,$31 to $50,French,40.7690255,-73.9816255,ambience_review,4.5
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,French,$31 to $50,French,40.7690255,-73.9816255,value_review,4.2
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,American,$30 and under,American,40.7651362,-73.9757026,average_review,4.4357
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,American,$30 and under,American,40.7651362,-73.9757026,food_review,4.3
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,American,$30 and under,American,40.7651362,-73.9757026,service_review,4.3
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,American,$30 and under,American,40.7651362,-73.9757026,ambience_review,4.1
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,American,$30 and under,American,40.7651362,-73.9757026,value_review,3.7
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,Pan-Asian,$50 and over,Asian,40.7425376,-74.0038464,average_review,4.62291
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,Pan-Asian,$50 and over,Asian,40.7425376,-74.0038464,food_review,4.5
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,Pan-Asian,$50 and over,Asian,40.7425376,-74.0038464,service_review,4.3
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,Pan-Asian,$50 and over,Asian,40.7425376,-74.0038464,ambience_review,4.7
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,Pan-Asian,$50 and over,Asian,40.7425376,-74.0038464,value_review,4.1
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,Lebanese,$31 to $50,Other,40.7444086,-73.9879156,average_review,4.64981
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,Lebanese,$31 to $50,Other,40.7444086,-73.9879156,food_review,4.7
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,Lebanese,$31 to $50,Other,40.7444086,-73.9879156,service_review,4.4
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,Lebanese,$31 to $50,Other,40.7444086,-73.9879156,ambience_review,4.4
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,Lebanese,$31 to $50,Other,40.7444086,-73.9879156,value_review,4
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,Italian,$31 to $50,Italian,40.7444337,-73.9857807,average_review,4.63829
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,Italian,$31 to $50,Italian,40.7444337,-73.9857807,food_review,4.6
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,Italian,$31 to $50,Italian,40.7444337,-73.9857807,service_review,4.5
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,Italian,$31 to $50,Italian,40.7444337,-73.9857807,ambience_review,4.6
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,Italian,$31 to $50,Italian,40.7444337,-73.9857807,value_review,4
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,Seafood,$31 to $50,Seafood,40.7721822,-73.9813041,average_review,4.45246
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,Seafood,$31 to $50,Seafood,40.7721822,-73.9813041,food_review,4.3
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,Seafood,$31 to $50,Seafood,40.7721822,-73.9813041,service_review,4.2
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,Seafood,$31 to $50,Seafood,40.7721822,-73.9813041,ambience_review,4.2
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,Seafood,$31 to $50,Seafood,40.7721822,-73.9813041,value_review,3.9
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,Contemporary Mexican,$31 to $50,Mexican,40.7597188,-73.9748665,average_review,4.6502
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,Contemporary Mexican,$31 to $50,Mexican,40.7597188,-73.9748665,food_review,4.5
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,Contemporary Mexican,$31 to $50,Mexican,40.7597188,-73.9748665,service_review,4.5
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,Contemporary Mexican,$31 to $50,Mexican,40.7597188,-73.9748665,ambience_review,4.4
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,Contemporary Mexican,$31 to $50,Mexican,40.7597188,-73.9748665,value_review,3.8
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,Seafood,$31 to $50,Seafood,40.7618473,-73.9805453,average_review,4.71701
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,Seafood,$31 to $50,Seafood,40.7618473,-73.9805453,food_review,4.7
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,Seafood,$31 to $50,Seafood,40.7618473,-73.9805453,service_review,4.6
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,Seafood,$31 to $50,Seafood,40.7618473,-73.9805453,ambience_review,4.6
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,Seafood,$31 to $50,Seafood,40.7618473,-73.9805453,value_review,4.2
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,American,$30 and under,American,40.7838797,-73.9774244,average_review,4.51471
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,American,$30 and under,American,40.7838797,-73.9774244,food_review,4.4
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,American,$30 and under,American,40.7838797,-73.9774244,service_review,4.3
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,American,$30 and under,American,40.7838797,-73.9774244,ambience_review,4.1
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,American,$30 and under,American,40.7838797,-73.9774244,value_review,3.8
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,Steakhouse,$31 to $50,Steakhouse,40.7547172,-73.9827745,average_review,4.52678
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,Steakhouse,$31 to $50,Steakhouse,40.7547172,-73.9827745,food_review,4.5
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,Steakhouse,$31 to $50,Steakhouse,40.7547172,-73.9827745,service_review,4.2
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,Steakhouse,$31 to $50,Steakhouse,40.7547172,-73.9827745,ambience_review,4.5
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,Steakhouse,$31 to $50,Steakhouse,40.7547172,-73.9827745,value_review,3.8
Toloache-Midtown,"251 West 50th Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663,5178,(212) 581-1818,Mexican,$30 and under,Mexican,40.7623091,-73.9855741,average_review,4.55178
Toloache-Midtown,"251 West 50th Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663,5178,(212) 581-1818,Mexican,$30 and under,Mexican,40.7623091,-73.9855741,food_review,4.5
