name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,http://www.rosamexicano.com/,Mexican,4.46215,4.3,4.2,4.2,4,$31 to $50,2,3,10,28,57,"Our highly anticipated second Rosa Mexicano location opened in July 2000. Just steps away from Lincoln Center, this impressive David Rockwell-designed space features a 30-foot iridescent blue tile water wall that spans both levels of the restaurant and i",Mexican,40.771079,-73.9827734,10023
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,NA,Tapas / Small Plates,4.72171,4.6,4.3,4.6,4,$30 and under,1,2,4,17,76,"ABC Cocina with Jean-Georges, Phil Suarez and ABC Carpet & Home",Other,40.7379803,-73.98927,10003
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,http://www.gallaghersnysteakhouse.com/,Steakhouse,4.6502,4.7,4.7,4.6,4.2,$50 and over,1,1,5,19,74,"Founded by former Ziegfield girl Helen Gallagher and the colorful gambler and sports enthusiast Jack Solomon, Gallaghers opened as a speakeasy and steakhouse in 1927. At that time, the height of Prohibition, a good stiff drink and a great steak were hard",Steakhouse,40.7628238,-73.9838753,10019
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,http://www.bouludsud.com/nyc,Mediterranean,4.64853,4.6,4.5,4.4,4.1,$50 and over,1,2,6,20,71,"Chef Daniel Boulud’s vibrant Mediterranean menu offers flavors from France, Spain, Italy, Greece, North Africa and Turkey. There is an emphasis on grilled fish and meats as well as an abundance of fresh vegetables. With an entrance on West 64th Street,",Mediterranean,40.7715807,-73.9811807,10023
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,http://www.jean-georgesrestaurant.com/,French,4.65918,4.6,4.4,4.5,4.2,$31 to $50,0,2,5,19,74,"Nougatine is the more casual sister of Jean-Georges, with a very lively bar scene at night. The restaurant attracts a mix of celebrities, socialites, and movers and shakers in the business world. Adjacent to the formal Jean-Georges dining room, Nougatine",French,40.7690255,-73.9816255,10023
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,http://www.sarabethsrestaurants.com/,American,4.4357,4.3,4.3,4.1,3.7,$30 and under,1,3,11,23,62,"Great any time of day! Breakfast, Lunch, Late Lunch, Dinner and Brunch(Sat-Sun)“Not just for Brunch.” ""Not for many, many years now, and certainly not on Central Park South,” comments Frank Bruni of the New York Times about our wonderful dinner men",American,40.7651362,-73.9757026,10019
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,http://www.taodowntown.com/,Pan-Asian,4.62291,4.5,4.3,4.7,4.1,$50 and over,2,2,7,16,73,"TAO Downtown was created to offer its guests a sensual trip through the cuisines of Asia.  From the moment one enters, they are transported to another world, designed to relax and indulge all of the senses.  TAO locations in New York, Las Vegas & Los Ang",Asian,40.7425376,-74.0038464,10011
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,http://www.ililinyc.com/,Lebanese,4.64981,4.7,4.4,4.4,4,$31 to $50,1,1,5,19,74,"Tradition meets sophistication at ilili, New York City's premier contemporary Lebanese restaurant offering inspired Mediterranean cuisine. ilili's menu mixes authentic dishes with modern Mediterranean influences to create a culinary journey for the palat",Other,40.7444086,-73.9879156,10001
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,http://www.scarpettarestaurants.com/new-york,Italian,4.63829,4.6,4.5,4.6,4,$31 to $50,2,2,6,17,73,"An Italian expression that means “little shoe” – or the shape bread takes when used to soak up a dish — Scarpetta represents the pure pleasure of savoring a meal down to its very last taste. Amongst many accolades, Scarpetta NYC received a three-",Italian,40.7444337,-73.9857807,10016
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,http://www.atlanticgrill.com/,Seafood,4.45246,4.3,4.2,4.2,3.9,$31 to $50,1,4,8,32,55,"A local favorite for 20 years, Atlantic Grill has been serving the finest seafood since 1998. Located near Lincoln Center, our fresh sushi, delectable raw bar and inventive dishes make for a standout culinary experience.",Seafood,40.7721822,-73.9813041,10023
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,http://www.empellon.com/,Contemporary Mexican,4.6502,4.5,4.5,4.4,3.8,$31 to $50,1,2,7,21,69,"Empellón (EM-PAY-ON) | verb | 1. To push or jostle. | 2. To break through.Upscale, contemporary dishes serving an innovative take on Mexican inspired cuisine.Established by chef & founder Alex Stupak, Empellón includes restaurants in NYC's East Village",Mexican,40.7597188,-73.9748665,10022
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,http://www.ocean-prime.com/locations/new-york-city,Seafood,4.71701,4.7,4.6,4.6,4.2,$31 to $50,0,1,4,17,78,"OCEAN PRIME is a modern American restaurant and lounge from renownedrestaurateur Cameron Mitchell. The award-winning OCEAN PRIME delivers anextraordinary experience with stunning settings, an impressive menuof seafood and prime cuts of steak, signature c",Seafood,40.7618473,-73.9805453,10019
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,http://www.sarabethswest.com/,American,4.51471,4.4,4.3,4.1,3.8,$30 and under,1,3,8,28,60,"Known for its colorful homestyle cooking, warm atmosphere and family-friendly service, locals and visitors have felt at home at this very first Sarabeth’s location for nearly 30 years. Among many other cultural attractions on the Upper West Side, we’",American,40.7838797,-73.9774244,10024
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,http://www.stkhouse.com/,Steakhouse,4.52678,4.5,4.2,4.5,3.8,$31 to $50,2,3,8,21,66,"STK artfully blends two concepts into one—the modern steakhouse and a chic lounge. A large central lounge area is furnished with creamy leather banquettes and textured crocodile tiles, and is surrounded by an elevated dining room for more formal dining",Steakhouse,40.7547172,-73.9827745,10036
Toloache-Midtown,"251 West 50th Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663,5178,(212) 581-1818,http://www.toloachenyc.com/,Mexican,4.55178,4.5,4.4,4.1,4,$30 and under,1,2,7,28,62,"Welcome to Toloache (pronounced toh-lo-AH-tchay), chef-owner Julian Medina’s contemporary Mexican bistro located in the heart of the Theater District. Toloache is named after a flowering plant famed in Mexico for its use in love potions. We hope that w",Mexican,40.7623091,-73.9855741,10012
Blue Fin - New York,"1567 Broadway at 47th Street W Hotel Times Square New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7592810%2C-73.985265,6558,(212) 918-1400,http://www.bluefinnyc.com/,Seafood,4.36558,4.4,4.3,4.2,3.8,$31 to $50,1,3,10,31,55,"Blue Fin, a modern seafood restaurant located at W New York – Times Square, has reopened after an extensive redesign by Robert McKinley.  Known for its oasis-like respite from the buzz of Times Square and top quality seafood and sushi, the new Blue Fin",Seafood,40.7593562,-73.98569,10036
Bar Boulud,"1900 Broadway New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7713730%2C-73.982034,6814,(212) 595-0303,http://www.barboulud.com/nyc/,French,4.46814,4.4,4.3,4.1,3.9,$30 and under,1,3,8,27,61,Bar Boulud is Chef Daniel Boulud’s bistro and wine bar located across from New York City's Lincoln Center. An exquisite array of housemade charcuterie complements sumptuous French cooking for both lunch and dinner. Bar Boulud offers a 3 course price fi,French,40.771542,-73.9814645,10023
Hakkasan - New York,"311 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7583430%2C-73.990152,2492,(212) 776-1818,http://hakkasan.com/locations/hakkasan-new-york/,Chinese,4.62492,4.6,4.4,4.5,4,$50 and over,1,1,7,20,71,"Located in Hell's Kitchen, Hakkasan New York offers a distinctive experience where modern authentic Cantonese cuisine, world-class mixology and dramatic design converge. The dining experience is intimate and chic, inviting guests to taste the artistry cr",Chinese,40.7584487,-73.9900275,10036
Lincoln Ristorante,"142 West 65th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7736160%2C-73.98356,4697,(212) 359-6500,http://www.lincolnristorante.com/,Italian,4.64697,4.6,4.6,4.7,4,$31 to $50,1,2,5,19,73,"At Lincoln Ristorante, we offer our interpretation of modern Italian cuisine in New York at Lincoln Center. Our philosophy is simple: to source the best local ingredients and prepare them with authentic Italian methods and spirit. Our location beside Lin",Italian,40.7733125,-73.9837555,10023
Café Boulud,"20 East 76th St. New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7745190%2C-73.963928,5194,(212) 772-2600,http://www.cafeboulud.com/nyc/,French,4.65194,4.5,4.5,4.5,4,$50 and over,1,2,7,16,74,"CAFÉ BOULUD features a French-American menu inspired by Chef Daniel Boulud's four culinary muses: la tradition, classic French cuisine; la saison, seasonal delicacies; le potager, the vegetable garden; and le voyage, the flavors of world cuisines. In ad",French,40.7744937,-73.9640958,10021
The View Restaurant,"1535 Broadway New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7582300%2C-73.985763,10389,(212) 704-8900,http://www.theviewnyc.com/,Contemporary American,4.310389,4.2,4.4,4.5,3.7,$31 to $50,2,5,10,25,58,"Perched atop the hotel, the View Restaurant & Lounge is New York City's only revolving rooftop restaurant. Enjoy a breathtaking 360 view from the heart of the Times Square Theatre District amid an all-encompassing dining experience. The seasonally changi",Contemporary American,40.7587183,-73.9862168,10036
Park Avenue Spring,"360 Park Avenue South New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7424320%2C-73.985121,1837,(212) 951-7111,http://www.parkavenyc.com/,American,4.61837,4.6,4.5,4.7,4.2,$31 to $50,2,2,4,16,76,"Restaurateur Michael Stillman is proud to announce the re-opening of Park Avenue Spring (Summer, Autumn, Winter), the New American restaurant that enjoyed a 22-year run on the Upper East Side of Manhattan. With Park Avenue Spring, Stillman has taken his ",American,40.7421397,-73.9855281,10010
Zuma Japanese Restaurant - NY,"261 Madison Avenue New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7504680%2C-73.980608,678,(212) 544-9862,http://www.zumarestaurant.com/,Japanese,4.7678,4.6,4.4,4.6,4.1,$50 and over,1,1,6,18,74,"Zuma, the brainchild of award winning co-founder and creator, Rainer Becker, brings its internationally acclaimed style of contemporary Japanese cuisine to midtown, New York. Serving dishes designed to share and inspired by the informal dining style of i",Japanese & Koren,40.7504971,-73.9806384,10016
La Pecora Bianca - NoMad,"1133 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7436890%2C-73.989339,911,(212) 498-9696,http://www.lapecorabianca.com/,Italian,4.6911,4.5,4.3,4.5,4.2,$30 and under,1,1,4,21,73,"Located in NoMad and Midtown, La Pecora Bianca, which means ""the white sheep"" in Italian, offers a relaxed, all-day dining experience and vibrant Italian fare in a beautiful setting. We take Italian food back to its roots as an inherently local and seaso",Italian,40.7437839,-73.9893618,10010
La Pecora Bianca - Midtown,"950 2nd Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7550050%2C-73.968053,288,(212) 899-9996,http://lapecorabianca.com/,Italian,4.5288,4.4,4.1,4.4,4,$30 and under,1,2,6,25,66,"Located in NoMad and Midtown, La Pecora Bianca, which means ""the white sheep"" in Italian, offers a relaxed, all-day dining experience and vibrant Italian fare in a beautiful setting. We take Italian food back to its roots as an inherently local and seaso",Italian,40.7550058,-73.9680538,10022
Calle Ocho,"45 West 81st Street inside the Excelsior Hotel New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7828490%2C-73.973619,3465,(212) 873-5025,http://www.calleochonyc.com/,Latin American,4.33465,4.3,4.2,4.3,4.1,$31 to $50,3,3,10,26,58,"More festive than a piñata stuffed with a mariachi band and twice as stylish, Calle Ocho’s lively crowd is amped up on Mojitos, Caipirinhas, Sangria and Spanish wine or beer and shows no sign of slowing down. Those not willing or able to holler over t",Spanish,40.7830052,-73.9736309,10024
Sarabeth's Park Avenue South,"381 Park Ave South New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7425210%2C-73.984531,1604,(212) 335-0093,http://www.sarabethsrestaurants.com/,American,4.51604,4.4,4.1,4.3,3.8,$30 and under,1,3,8,22,66,"We serve Breakfast, Lunch, Tea, Dinner and Brunch in this great space, between the hours of 7:30AM and 11PM, daily.   With a full bar, private rooms and A/V facilities, this is a perfect location for your next breakfast meeting or private dinner event.We",American,40.7423754,-73.9841967,10013
Lavo - NYC,"39 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7623230%2C-73.970304,2317,(212) 750-5588,http://www.lavony.com/,Italian,4.62317,4.6,4.5,4.5,4.1,$50 and over,2,1,6,19,72,Last reservations are at 12:45am. Lavo is open for lunch Monday - Friday and Sunday brunch from 11:30am - 5:00pm. We accept reservations up to one month in advance.,Italian,40.7629003,-73.9714637,10022
La Masseria,"235 West 48th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7604370%2C-73.985575,3664,(212) 582-2111,http://www.lamasserianyc.com/,Italian,4.63664,4.7,4.6,4.5,4.2,$31 to $50,0,1,4,24,71,"La Masseria Restaurant is inspired from ancient fortified farmhouses that in the Puglia Region of Italy are called “Masseria”. Executive Chef/Co-Owner, Pino Coladonato, grew up on a Farm in Puglia. He was forced to eat whatever was available but soon",Italian,40.7608251,-73.9862213,10036
Lido,"2168 Frederick Douglass Blvd. New York, NY  10026",//www.google.com/maps/search/?api=1&query=40.8050550%2C-73.954881,1047,(646) 490-8575,http://www.lidoharlem.com/,Italian,4.51047,4.5,4.5,4.4,4.3,$30 and under,0,2,6,27,65,"Lido’s menu is Northern Italian. The menu can be described as fresh, simple, and delicious. Flavors are layered so that each one stands out but does not compete with others in the dish. The food is organic and local whenever possible and all poultry an",Italian,40.8048926,-73.9546798,10026
Ristorante Morini,"1167 Madison Avenue New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7805840%2C-73.958881,1190,(212) 249-0444,http://www.ristorantemorini.com/,Italian,4.6119,4.6,4.4,4.4,4.1,$31 to $50,0,2,6,20,72,"Ristorante Morini celebrates Italian cuisine by offering regional specialties, showcasing Chef Michael White’s modern interpretations of traditional dishes.  Upon arrival, guests are welcomed by a lively first floor dining room, featuring a stunning ba",Italian,40.7805467,-73.9588577,10020
Morimoto New York,"88 10th Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7432360%2C-74.007408,5894,(212) 989-8883,http://www.morimotonyc.com/,Japanese,4.65894,4.6,4.5,4.6,4,$50 and over,1,2,5,17,75,"Morimoto is the New York City interpretation of Executive Chef Masaharu Morimoto’s namesake Philadelphia restaurant that is co-owned with restaurateur Stephen Starr.  Designed by world renowned architect Tadao Ando, the restaurant’s entrance features",Japanese & Koren,40.7430827,-74.0072503,10011
Aureole,"135 West 42nd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7557500%2C-73.985568,3346,(212) 319-1660,http://www.charliepalmer.com/,American,4.53346,4.4,4.4,4.4,3.9,$31 to $50,1,3,9,25,62,"Welcome to Aureole, the flagship showcase for Chef Charlie Palmer's unabashed, energetic signature progressive American cooking. Entering its 30th year, Aureole is known for its longstanding commitment to seasonal, local sourcing. Aureole offers two dist",American,40.7555892,-73.9852848,10036
Fogo de Chao Brazilian Steakhouse - New York,"40 W 53rd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7612960%2C-73.977954,1772,(212) 969-9980,http://www.fogodechao.com/,Brazilian Steakhouse,4.61772,4.6,4.5,4.4,4.1,$50 and over,0,1,7,22,70,"Join us at Fogo de Chão® New York located in midtown Manhattan just a short walk from Times Square and steps away from MoMA. This prime location makes us the ideal dining spot for locals, tourists and dignitaries. We invite guests to enjoy our stunning",Steakhouse,40.7610935,-73.9777823,10019
Limani - NYC,"45 Rockefeller Plaza New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7591120%2C-73.977622,1406,(212) 858-9200,http://www.limani.com/,Mediterranean,4.61406,4.6,4.3,4.5,4,$50 and over,1,1,7,23,68,"Limani, a Mediterranean seafood restaurant focusing on traditional Greek specialties. We have come across a plethora of products that allows the Mediterranean diet to take its rightful place in the culinary landscape. Whether it is the premium first-pres",Mediterranean,40.7591829,-73.9778279,10011
Ai Fiori,"400 5th Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7502280%2C-73.983714,3794,(212) 613-8660,http://www.aifiorinyc.com/,Contemporary European,4.63794,4.6,4.6,4.6,4.1,$31 to $50,1,2,4,17,76,"From acclaimed Chef Michael White and the Altamarea Group, Ai Fiori celebrates cuisine from the Italian and French Riviera and showcases modern interpretations of traditional regional dishes. Located in the stylish Langham Hotel, Ai Fiori also boasts an ",Other Europe,40.7500752,-73.9837835,10018
Philippe,"33 East 60th Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7641390%2C-73.970336,2018,(212) 644-8885,http://www.philippechow.com/,Chinese,4.62018,4.6,4.4,4.2,4,$31 to $50,1,1,9,17,72,"Philippe puts his own spin on traditional Beijing-style cuisine with results that are modern, flavorful and theatrical. All specialty dishes are served family-style, giving all guests the opportunity to experience a taste in every dish ordered. Our philo",Chinese,40.764135,-73.9702846,10065
'Cesca,"164 W. 75th St. New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7801000%2C-73.9792,2749,(212) 787-6300,http://www.cescanyc.com/,Italian,4.12749,4.1,3.8,4.1,3.7,$31 to $50,4,7,14,26,49,"An original pioneer of the casual upscale dining scene on the Upper West Side since 2003, featuring contemporary farm-to-table Italian-American cuisine that explodes with flavor and freshness. Housemade pastas, poultry, steaks, seafood, wood-burning oven",Italian,40.7802763,-73.9798894,10024
Butter Midtown,"70 West 45th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7564900%2C-73.982279,3135,(212) 302-8703,http://www.butterrestaurant.com/,Contemporary American,4.23135,4.2,4.1,4.3,3.7,$31 to $50,2,7,13,22,56,"BUTTER is located in Midtown Manhattan. Executive Chef, Alex Guarnaschelli offers traditional American fare highlighted and enhanced by subtle global influences with the grace notes of seasonality.",Contemporary American,40.7563375,-73.9822224,10036
Smith & Wollensky - New York,"797 Third Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7551690%2C-73.970853,6405,(212) 753-1530,http://www.smithandwollenskynyc.com/,Steakhouse,4.56405,4.5,4.4,4.2,3.9,$50 and over,2,3,8,22,65,"The landmark Smith & Wollensky in New York City is located on the corner of Third Avenue and 49th Street, serving outstanding steakhouse fare that features USDA Prime steaks, dry aged and butchered on-premise.  Opened in 1977, the original Smith & Wollen",Steakhouse,40.7551704,-73.9707437,10022
Orsay,"1057-59 Lexington Avenue New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7723970%2C-73.960762,1899,(212) 517-6400 ext. 0,http://www.orsayrestaurant.com/,French,4.51899,4.3,4.3,4.4,3.9,$31 to $50,1,3,7,24,65,"Designed by partner Jean Denoyer, Orsay strikes that difficult balance of sophisticated-chic in a warm convivial atmosphere. Dark mahogany raised paneled walls meet Art Nouveau styled arches in a deep, creamy butter color. The floor is a work of art, Ita",French,40.7723839,-73.9604582,10021
Nice Matin,"201 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7831000%2C-73.9783,2140,(212) 873-6423,http://www.nicematinnyc.com/,French,4.4214,4.3,4.3,4.2,4,$31 to $50,2,2,9,33,54,"""Nice Matin, named after the largest daily newspaper in the South of France, gives the Upper West Side a splash of Provençal sunshine and a heady introduction to the cuisine of Nice, home of the pissaladière, pan bagnat and, if we are to believe the me",French,40.7834267,-73.9784952,10024
db Bistro moderne,"55 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7556310%2C-73.981658,6428,(212) 391-2400,http://www.dbbistro.com/,French,4.46428,4.4,4.5,4.3,3.9,$31 to $50,1,2,9,26,62,"Chef Daniel Boulud’s db bistro moderne is a contemporary French restaurant, known for chic bistro cuisine. The menu features updated bistro classics with a modern twist and market-driven French-American cuisine, alongside traditional French specialties",French,40.7559546,-73.9821076,10036
The Capital Grille - NY – Time Life Building,"120 West 51st Street, Time Life Bldg. New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7608700%2C-73.98112,3338,(212) 246-0154,http://www.capitalgrille.com/,Steakhouse,4.73338,4.6,4.6,4.6,4.2,$50 and over,1,1,5,17,76,"You are cordially invited to be wined, dined, and dazzled at The Capital Grille. Enjoy nationally renowned steaks — dry aged and hand-cut on premises by the restaurant's own butchers — the freshest of seafood, creative sides, and irresistible dessert",Steakhouse,40.7606647,-73.9814419,10020
FIG & OLIVE Meatpacking,"420 West 13th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7406100%2C-74.00676,5752,(212) 924-1200,http://www.figandolive.com/,Mediterranean,4.65752,4.5,4.3,4.6,4.2,$31 to $50,1,2,6,21,70,"FIG & OLIVE is about passion for the best olive oils, flavors and cuisine from the Riviera & Coastal regions of the South of France, Italy and Spain. It is a full service restaurant featuring lunch, brunch and dinner menus. The exceptional wine list incl",Mediterranean,40.7406128,-74.0069163,10014
Barbounia,"250 Park Ave South New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7380000%2C-73.988,2279,(212) 995-0242,http://www.barbounia.com/,Mediterranean,4.62279,4.5,4.3,4.4,4.1,$30 and under,1,2,7,20,70,"Barbounia is an oasis of modern Mediterranean cuisine, influenced by the food and cultures of Greece, Southern France, Morocco and Southern Italy combined with a beautiful chic ambiance and a welcoming staff. Under the direction of Partners Alon Jibli an",Mediterranean,40.7382552,-73.988214,10003
